GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0042400407,30,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,1,9,21,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,0,1,0,20250622,OKC,IND
Shot Chart Detail,0042400407,35,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,1,8,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-102,229,1,1,20250622,OKC,IND
Shot Chart Detail,0042400407,39,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,1,8,5,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-102,222,1,1,20250622,OKC,IND
Shot Chart Detail,0042400407,53,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,1,7,8,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-80,237,1,0,20250622,OKC,IND
Shot Chart Detail,0042400407,55,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,1,7,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-50,261,1,1,20250622,OKC,IND
Shot Chart Detail,0042400406,18,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,1,11,15,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-153,200,1,0,20250619,IND,OKC
Shot Chart Detail,0042400406,29,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,1,10,13,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-42,91,1,0,20250619,IND,OKC
Shot Chart Detail,0042400406,39,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,1,9,18,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,37,31,1,0,20250619,IND,OKC
Shot Chart Detail,0042400406,92,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,1,5,4,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-199,178,1,0,20250619,IND,OKC
Shot Chart Detail,0042400406,102,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,1,4,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,12,268,1,1,20250619,IND,OKC
Shot Chart Detail,0042400406,233,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,2,7,49,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-164,211,1,1,20250619,IND,OKC
Shot Chart Detail,0042400406,326,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,2,2,34,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,125,254,1,1,20250619,IND,OKC
Shot Chart Detail,0042400406,342,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,2,1,26,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,7,115,1,1,20250619,IND,OKC
Shot Chart Detail,0042400406,346,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,2,0,54,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-105,44,1,0,20250619,IND,OKC
Shot Chart Detail,0042400406,379,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,3,10,5,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-223,143,1,0,20250619,IND,OKC
Shot Chart Detail,0042400406,408,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,3,8,7,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,9,1,1,20250619,IND,OKC
Shot Chart Detail,0042400406,435,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,3,6,42,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-23,243,1,0,20250619,IND,OKC
Shot Chart Detail,0042400405,49,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,1,7,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-105,229,1,0,20250616,OKC,IND
Shot Chart Detail,0042400405,102,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,1,5,6,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-97,235,1,0,20250616,OKC,IND
Shot Chart Detail,0042400405,246,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,2,7,38,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-167,187,1,0,20250616,OKC,IND
Shot Chart Detail,0042400405,258,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,2,6,50,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,54,182,1,0,20250616,OKC,IND
Shot Chart Detail,0042400405,386,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,2,0,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-150,208,1,0,20250616,OKC,IND
Shot Chart Detail,0042400405,490,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,3,6,27,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,15,1,0,20250616,OKC,IND
