GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0042400407,15,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,1,10,57,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,70,132,1,1,20250622,OKC,IND
Shot Chart Detail,0042400407,18,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,1,10,17,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-185,107,1,0,20250622,OKC,IND
Shot Chart Detail,0042400407,29,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,1,9,35,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-150,-1,1,1,20250622,OKC,IND
Shot Chart Detail,0042400407,109,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,1,3,52,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,125,7,1,0,20250622,OKC,IND
Shot Chart Detail,0042400407,115,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,1,3,18,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,6,63,1,1,20250622,OKC,IND
Shot Chart Detail,0042400407,122,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,1,1,59,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-88,153,1,0,20250622,OKC,IND
Shot Chart Detail,0042400407,234,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,2,8,5,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-123,235,1,0,20250622,OKC,IND
Shot Chart Detail,0042400407,244,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,2,7,16,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-80,141,1,1,20250622,OKC,IND
Shot Chart Detail,0042400407,301,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,2,3,21,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-38,15,1,0,20250622,OKC,IND
Shot Chart Detail,0042400407,312,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,2,2,55,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,20,1,1,20250622,OKC,IND
Shot Chart Detail,0042400407,340,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,2,1,7,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-228,117,1,0,20250622,OKC,IND
Shot Chart Detail,0042400407,363,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,2,0,0,Missed Shot,Pullup Jump shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,47,174,443,1,0,20250622,OKC,IND
Shot Chart Detail,0042400407,372,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,3,11,37,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-49,251,1,0,20250622,OKC,IND
Shot Chart Detail,0042400407,375,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,3,11,33,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-221,62,1,0,20250622,OKC,IND
Shot Chart Detail,0042400407,417,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,3,8,16,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,70,243,1,1,20250622,OKC,IND
Shot Chart Detail,0042400407,435,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,3,6,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,-11,1,1,20250622,OKC,IND
Shot Chart Detail,0042400407,443,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,3,5,23,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-49,240,1,0,20250622,OKC,IND
Shot Chart Detail,0042400407,516,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,3,0,30,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,85,120,1,0,20250622,OKC,IND
Shot Chart Detail,0042400407,522,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,3,0,0,Missed Shot,Pullup Jump shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,49,186,463,1,0,20250622,OKC,IND
Shot Chart Detail,0042400407,540,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,4,11,22,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,94,236,1,1,20250622,OKC,IND
Shot Chart Detail,0042400407,547,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,4,10,46,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-145,9,1,0,20250622,OKC,IND
Shot Chart Detail,0042400407,573,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,4,8,41,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,65,237,1,0,20250622,OKC,IND
Shot Chart Detail,0042400407,586,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,4,7,58,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-134,143,1,0,20250622,OKC,IND
Shot Chart Detail,0042400407,621,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,4,6,32,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-10,158,1,0,20250622,OKC,IND
Shot Chart Detail,0042400407,654,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,4,5,8,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-176,178,1,0,20250622,OKC,IND
Shot Chart Detail,0042400407,685,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,4,3,52,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-43,250,1,0,20250622,OKC,IND
Shot Chart Detail,0042400407,692,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,4,3,9,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-11,59,1,0,20250622,OKC,IND
Shot Chart Detail,0042400406,63,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,1,7,23,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,14,1,0,20250619,IND,OKC
Shot Chart Detail,0042400406,68,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,1,7,3,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-33,1,1,1,20250619,IND,OKC
Shot Chart Detail,0042400406,129,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,1,3,9,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-89,94,1,0,20250619,IND,OKC
Shot Chart Detail,0042400406,139,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,1,2,42,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-124,9,1,0,20250619,IND,OKC
Shot Chart Detail,0042400406,147,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,1,1,50,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,55,248,1,0,20250619,IND,OKC
Shot Chart Detail,0042400406,154,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,1,1,21,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-7,162,1,1,20250619,IND,OKC
Shot Chart Detail,0042400406,175,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,1,0,2,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-38,15,1,1,20250619,IND,OKC
Shot Chart Detail,0042400406,188,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,2,11,32,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-58,106,1,1,20250619,IND,OKC
Shot Chart Detail,0042400406,200,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,2,9,55,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,15,94,1,1,20250619,IND,OKC
Shot Chart Detail,0042400406,325,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,2,2,52,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-156,1,1,1,20250619,IND,OKC
Shot Chart Detail,0042400406,352,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,2,0,23,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,25,1,0,20250619,IND,OKC
