team,r_3pt_radius,court_width,baseline_width,hoop_to_baseline,corner3_distance,corner3_availability,arc_length_inbounds,area_inside_arc,area_outside_arc,twopa_per_game,threepa_per_game,corner3_pa,above_break3_pa,rim_attempt_share,midrange_share,free_throw_rate,eppg,epps,efg_expected,threepar,team_rim_rate,team_corner3_rate,off_reb_rate,pace,opp_3par_allowed,opp_rim_fg_allowed,switch_rate,turnover_rate,def_reb_rate
Cavaliers2016,23.0,50.0,50.0,4.0,22,1.0,72.25663103256524,830.9512568745002,1319.0487431254996,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.0,50.25,50.25,4.0,22,1.0,72.25663103256524,830.9512568745002,1329.7987431254996,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.0,50.5,50.5,4.0,22,1.0,72.25663103256524,830.9512568745002,1340.5487431254996,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.0,50.75,50.75,4.0,22,1.0,72.25663103256524,830.9512568745002,1351.2987431254996,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.0,51.0,51.0,4.0,22,1.0,72.25663103256524,830.9512568745002,1362.0487431254996,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.0,51.25,51.25,4.0,22,1.0,72.25663103256524,830.9512568745002,1372.7987431254996,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.0,51.5,51.5,4.0,22,1.0,72.25663103256524,830.9512568745002,1383.5487431254996,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.0,51.75,51.75,4.0,22,1.0,72.25663103256524,830.9512568745002,1394.2987431254996,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.0,52.0,52.0,4.0,22,1.0,72.25663103256524,830.9512568745002,1405.0487431254996,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.0,52.25,52.25,4.0,22,1.0,72.25663103256524,830.9512568745002,1415.7987431254996,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.0,52.5,52.5,4.0,22,1.0,72.25663103256524,830.9512568745002,1426.5487431254996,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.0,52.75,52.75,4.0,22,1.0,72.25663103256524,830.9512568745002,1437.2987431254996,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.0,53.0,53.0,4.0,22,1.0,72.25663103256524,830.9512568745002,1448.0487431254996,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
