player,position,role,lineup_order,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,TEAM
Kyrie Irving,PG,starter,1,Shot Chart Detail,41400111,129,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,1,0,35,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8.0,83.0,33.0,1,0,20150419,CLE,BOS,Cavaliers
Kyrie Irving,PG,starter,1,Shot Chart Detail,41400111,127,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,1,0,58,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-8.0,3.0,1,1,20150419,CLE,BOS,Cavaliers
Kyrie Irving,PG,starter,1,Shot Chart Detail,41400111,110,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,1,2,12,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,1.0,15.0,1,0,20150419,CLE,BOS,Cavaliers
Kyrie Irving,PG,starter,1,Shot Chart Detail,41400111,98,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,1,3,20,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-2.0,11.0,1,0,20150419,CLE,BOS,Cavaliers
Kyrie Irving,PG,starter,1,Shot Chart Detail,41400111,81,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,1,4,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,4.0,4.0,1,1,20150419,CLE,BOS,Cavaliers
Kyrie Irving,PG,starter,1,Shot Chart Detail,41400111,31,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,1,8,50,Made Shot,Running Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11.0,-105.0,34.0,1,1,20150419,CLE,BOS,Cavaliers
Kyrie Irving,PG,starter,1,Shot Chart Detail,41400111,24,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,1,9,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,0.0,3.0,1,1,20150419,CLE,BOS,Cavaliers
Kyrie Irving,PG,starter,1,Shot Chart Detail,41400111,295,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,2,0,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26.0,-199.0,168.0,1,1,20150419,CLE,BOS,Cavaliers
Kyrie Irving,PG,starter,1,Shot Chart Detail,41400111,283,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,2,0,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26.0,113.0,244.0,1,1,20150419,CLE,BOS,Cavaliers
Kyrie Irving,PG,starter,1,Shot Chart Detail,41400111,261,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,2,2,32,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14.0,143.0,19.0,1,0,20150419,CLE,BOS,Cavaliers
Kyrie Irving,PG,starter,1,Shot Chart Detail,41400111,234,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,2,4,23,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23.0,-232.0,-5.0,1,1,20150419,CLE,BOS,Cavaliers
Kyrie Irving,PG,starter,1,Shot Chart Detail,41400111,186,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,2,8,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24.0,62.0,238.0,1,1,20150419,CLE,BOS,Cavaliers
Kyrie Irving,PG,starter,1,Shot Chart Detail,41400111,384,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,3,3,28,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12.0,-127.0,12.0,1,0,20150419,CLE,BOS,Cavaliers
Kyrie Irving,PG,starter,1,Shot Chart Detail,41400111,352,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,3,6,46,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23.0,233.0,1.0,1,0,20150419,CLE,BOS,Cavaliers
Kyrie Irving,PG,starter,1,Shot Chart Detail,41400111,350,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,3,6,53,Missed Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5.0,31.0,45.0,1,0,20150419,CLE,BOS,Cavaliers
Kyrie Irving,PG,starter,1,Shot Chart Detail,41400111,344,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,3,7,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24.0,89.0,233.0,1,0,20150419,CLE,BOS,Cavaliers
Kyrie Irving,PG,starter,1,Shot Chart Detail,41400111,330,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,3,8,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25.0,118.0,224.0,1,1,20150419,CLE,BOS,Cavaliers
Kyrie Irving,PG,starter,1,Shot Chart Detail,41400111,566,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,4,1,21,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22.0,-229.0,11.0,1,0,20150419,CLE,BOS,Cavaliers
Kyrie Irving,PG,starter,1,Shot Chart Detail,41400111,509,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,4,5,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-10.0,3.0,1,1,20150419,CLE,BOS,Cavaliers
